"Ägypten	";"Kairo"
"Österreich	";"Wien	"
"Oman	";"Maskat	"
"Osttimor ";"Dili	"
"Pakistan
";"Islamabad	"
"Palau	";"Ngerulmud	"
"Panama	";"Panama-Stadt	"
"Papua-Neuguinea	";"Port Moresby	"
"Paraguay	";"Asunción	"
"Peru	";"Lima	"
"Philippinen	";"Manila	"
"Polen	";"Warschau	"
"Portugal	";"Lissabon	"
"Ruanda	";"Kigali	"
"Rumänien	";"Bukarest	"
"Russland
";"Moskau	"
"Salomonen	";"Honiara	"
"Sambia	";"Lusaka	"
"Samoa	";"Apia	"
"San Marino	";"San Marino	"
"São Tomé und Príncipe	";"São Tomé	"
"Saudi-Arabien	";"Riad	"
"Schweden	";"Stockholm	"
"Schweiz	";"Bern"
"Senegal	";"Dakar	"
"Serbien
";"Belgrad	"
"Seychellen	";"Victoria	"
"Sierra Leone	";"Freetown	"
"Simbabwe	";"Harare	"
"Singapur	";"Singapur	"
"Slowakei	";"Bratislava
"
"Slowenien	";"Ljubljana
"
"Somalia
";"Mogadischu	"
"Spanien	";"Madrid	"
"Sri Lanka	";"Sri Jayewardenepura"
"St. Kitts und Nevis";"Basseterre	"
"St. Lucia	";"Castries	"
"St. Vincent und die Grenadinen	";"Kingstown	"
"Sudan	";"Khartum	"
"Südafrika	";"Pretoria	"
"Südkorea";"Seoul	"
"Südsudan	";"Juba	"
"Suriname	";"Paramaribo	"
"Swasiland	";"Mbabane	"
"Syrien
";"Damaskus	"
"Tadschikistan	";"Duschanbe	"
"Tansania	";"Dodoma	"
"Thailand	";"Bangkok	"
"Togo	";"Lomé	"
"Tonga	";"Nuku?alofa	"
"Trinidad und Tobago	";"Port of Spain	"
"Tschad	";"N’Djamena	"
"Tschechien	";"Prag	"
"Türkei	";"Ankara	"
"Tunesien	";"Tunis	"
"Turkmenistan	";"Aschgabad	"
"Tuvalu	";"Funafuti	"
"Uganda	";"Kampala	"
"Ukraine
";"Kiew	"
"Ungarn	";"Budapest	"
"Uruguay	";"Montevideo	"
"Usbekistan	";"Taschkent	"
"Vanuatu	";"Port Vila	"
"Vatikanstadt	";"Vatikanstadt	"
"Venezuela	";"Caracas	"
"Vereinigte Arabische Emirate	";"Abu Dhabi	"
"Vereinigte Staaten
";"Washington, D.C.	"
"Vereinigtes Königreich
";"London	"
"Vietnam	";"Hanoi	"
"Weißrussland	";"Minsk	"
"Zentral­afrikanische Republik	";"Bangui	"
"Zypern
";"Nikosia	"
